         15395641 function calls (15388763 primitive calls) in 44.600 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    762/1    0.021    0.000   46.207   46.207 {built-in method builtins.exec}
        1    0.050    0.050   46.207   46.207 cprofile.py:2(<module>)
    20000    0.086    0.000   39.938    0.002 cprofile.py:39(ply)
    20000    0.408    0.000   24.963    0.001 cprofile.py:27(forward)
   120003    8.139    0.000   14.599    0.000 mcst.py:160(branch)
    20000    0.438    0.000   14.580    0.001 cprofile.py:11(backprop)
   120003   13.636    0.000   13.636    0.000 mcst.py:180(back)
   120003    0.361    0.000    8.993    0.000 mcst.py:90(isterminal)
   120003    0.956    0.000    8.388    0.000 util.py:90(find_win)
        1    0.000    0.000    5.590    5.590 module.py:291(cuda)
     37/1    0.001    0.000    5.590    5.590 module.py:200(_apply)
       87    4.699    0.054    5.589    0.064 {method 'cuda' of 'torch._C._TensorBase' objects}
       68    0.000    0.000    5.589    0.082 module.py:305(<lambda>)
   120003    3.563    0.000    5.130    0.000 util.py:33(linear_nhd)
  1080027    2.867    0.000    2.867    0.000 {method 'item' of 'torch._C._TensorBase' objects}
   120003    0.875    0.000    2.288    0.000 random.py:258(shuffle)
   120003    0.428    0.000    2.138    0.000 util.py:97(<listcomp>)
  1080027    1.244    0.000    1.716    0.000 random.py:220(_randbelow)
   120003    0.727    0.000    0.963    0.000 mcst.py:59(do)
966898/966733    0.444    0.000    0.930    0.000 {built-in method builtins.len}
      5/1    0.000    0.000    0.890    0.890 __init__.py:167(_lazy_init)
        1    0.000    0.000    0.842    0.842 __init__.py:93(_check_driver)
        6    0.842    0.140    0.842    0.140 {built-in method torch._C._cuda_isDriverSufficient}
  2220048    0.670    0.000    0.670    0.000 util.py:65(within)
   120003    0.106    0.000    0.644    0.000 random.py:214(randint)
    406/6    0.002    0.000    0.607    0.101 <frozen importlib._bootstrap_external>:659(exec_module)
    456/3    0.003    0.000    0.607    0.202 <frozen importlib._bootstrap>:966(_find_and_load)
    456/3    0.003    0.000    0.607    0.202 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
    442/3    0.003    0.000    0.606    0.202 <frozen importlib._bootstrap>:659(_load_unlocked)
    571/6    0.001    0.000    0.606    0.101 <frozen importlib._bootstrap>:214(_call_with_frames_removed)
        1    0.000    0.000    0.605    0.605 mcst.py:1(<module>)
   120003    0.216    0.000    0.538    0.000 random.py:170(randrange)
   120003    0.386    0.000    0.507    0.000 mcst.py:52(undo)
   240006    0.381    0.000    0.449    0.000 tensor.py:392(__len__)
        1    0.001    0.001    0.358    0.358 __init__.py:11(<module>)
  1797298    0.350    0.000    0.350    0.000 {method 'getrandbits' of '_random.Random' objects}
       31    0.002    0.000    0.344    0.011 __init__.py:1(<module>)
    20000    0.106    0.000    0.308    0.000 random.py:280(sample)
   356/29    0.001    0.000    0.295    0.010 {built-in method builtins.__import__}
 1796/874    0.002    0.000    0.266    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
   360009    0.265    0.000    0.265    0.000 util.py:15(Xrc_idx)
  1545785    0.252    0.000    0.252    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.242    0.242 __init__.py:106(<module>)
  442/440    0.001    0.000    0.203    0.000 <frozen importlib._bootstrap>:570(module_from_spec)
51348/51347    0.058    0.000    0.201    0.000 {built-in method builtins.isinstance}
       24    0.000    0.000    0.187    0.008 <frozen importlib._bootstrap_external>:903(create_module)
       24    0.182    0.008    0.186    0.008 {built-in method _imp.create_dynamic}
   300011    0.163    0.000    0.163    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
   540010    0.155    0.000    0.155    0.000 util.py:39(<lambda>)
   120003    0.056    0.000    0.146    0.000 mcst.py:150(__getitem__)
   560013    0.143    0.000    0.143    0.000 util.py:38(<lambda>)
   540015    0.143    0.000    0.143    0.000 util.py:41(<lambda>)
    40051    0.089    0.000    0.143    0.000 abc.py:178(__instancecheck__)
   580010    0.134    0.000    0.134    0.000 util.py:40(<lambda>)
  1080027    0.121    0.000    0.121    0.000 {method 'bit_length' of 'int' objects}
   305540    0.109    0.000    0.109    0.000 {method 'join' of 'str' objects}
       19    0.000    0.000    0.100    0.005 mcst.py:131(__init__)
       19    0.008    0.000    0.100    0.005 mcst.py:11(F)
